Date detected,Infected premises,Province,Premises type,Premises classification,PCZ,PCZ status
"October 31, 2024",BC-IP167,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"October 30, 2024",BC-IP166,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-236 Revoked
"October 30, 2024",BC-IP165,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
"October 28, 2024",BC-IP164,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-237 Revoked
"October 27, 2024",BC-IP163,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-237 Revoked
"October 25, 2024",BC-IP162,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-236 Revoked
"October 29, 2024",SK-IP45,Saskatchewan,commercial,poultry,PCZ-238,Revoked
"October 21, 2024",BC-IP161,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-237 Revoked
"October 21, 2024",BC-IP160,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-236 Revoked
"October 21, 2024",BC-IP159,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-236 Revoked
"February 19, 2024",AB-IP82,Alberta,commercial,poultry,PCZ-235,Revoked
"December 8, 2023",AB-IP79,Alberta,commercial,poultry,PCZ-227,Revoked
"December 5, 2023",AB-IP78,Alberta,commercial,poultry,PCZ-226,Revoked
"November 27, 2023",AB-IP77,Alberta,commercial,poultry,PCZ-224,Revoked
"November 26, 2023",AB-IP76,Alberta,commercial,poultry,PCZ-223,Revoked
"November 6, 2023",AB-IP71,Alberta,commercial,poultry,PCZ-209,Revoked
"October 23, 2023",AB-IP70,Alberta,commercial,poultry,PCZ-198,Revoked
"October 6, 2023",AB-IP67,Alberta,commercial,poultry,PCZ-195,Revoked
"October 3, 2023",AB-IP66,Alberta,commercial,poultry,PCZ-194,Revoked
"September 26, 2023",AB-IP65,Alberta,commercial,poultry,PCZ-193,Revoked
"September 11, 2023",AB-IP62,Alberta,commercial,poultry,PCZ-191,Revoked
"November 16, 2022",AB-IP59,Alberta,commercial,poultry,PCZ-147,Revoked
"November 3, 2022",AB-IP57,Alberta,commercial,poultry,PCZ-144,Revoked
"October 27, 2022",AB-IP56,Alberta,commercial,poultry,PCZ-142,Revoked
"September 28, 2022",AB-IP49,Alberta,commercial,poultry,PCZ-106,Revoked
"September 27, 2022",AB-IP48,Alberta,commercial,poultry,PCZ-102,Revoked
"September 23, 2022",AB-IP45,Alberta,commercial,poultry,PCZ-98,Revoked
"September 21, 2022",AB-IP44,Alberta,commercial,poultry,PCZ-96,Revoked
"September 20, 2022",AB-IP43,Alberta,commercial,poultry,PCZ-95,Revoked
"September 20, 2022",AB-IP42,Alberta,commercial,poultry,PCZ-93,Revoked
"September 18, 2022",AB-IP41,Alberta,commercial,poultry,PCZ-89,Revoked
"September 17, 2022",AB-IP40,Alberta,commercial,poultry,PCZ-90,Revoked
"September 16, 2022",AB-IP39,Alberta,commercial,poultry,PCZ-88,Revoked
"September 15, 2022",AB-IP38,Alberta,commercial,poultry,PCZ-86,Revoked
"September 12, 2022",AB-IP37,Alberta,commercial,poultry,PCZ-82,Revoked
"September 12, 2022",AB-IP36,Alberta,commercial,poultry,PCZ-81,Revoked
"September 4, 2022",AB-IP35,Alberta,commercial,poultry,PCZ-79,Revoked
"August 31, 2022",AB-IP34,Alberta,commercial,poultry,PCZ-78,Revoked
"August 23, 2022",AB-IP33,Alberta,commercial,poultry,PCZ-77,Revoked
"July 28, 2022",AB-IP32,Alberta,commercial,poultry,PCZ-75,Revoked
"May 11, 2022",AB-IP26,Alberta,commercial,poultry,PCZ-61,Revoked
"May 5, 2022",AB-IP24,Alberta,commercial,poultry,PCZ-59,Revoked
"May 1, 2022",AB-IP23,Alberta,commercial,poultry,PCZ-50,Revoked
"May 1, 2022",AB-IP22,Alberta,commercial,poultry,PCZ-49,Revoked
"April 25, 2022",AB-IP18,Alberta,commercial,poultry,PCZ-43,Revoked
"April 24, 2022",AB-IP17,Alberta,commercial,poultry,PCZ-39,Revoked
"April 21, 2022",AB-IP14,Alberta,commercial,poultry,PCZ-37,Revoked
"April 20, 2022",AB-IP13,Alberta,commercial,poultry,PCZ-34,Revoked
"April 15, 2022",AB-IP12,Alberta,commercial,poultry,PCZ-31,Revoked
"April 14, 2022",AB-IP10,Alberta,commercial,poultry,PCZ-26,Revoked
"April 14, 2022",AB-IP09,Alberta,commercial,poultry,PCZ-25,Revoked
"April 12, 2022",AB-IP08,Alberta,commercial,poultry,PCZ-20,Revoked
"April 11, 2022",AB-IP07,Alberta,commercial,poultry,PCZ-19,Revoked
"April 10, 2022",AB-IP06,Alberta,commercial,poultry,PCZ-17,Revoked
"April 9, 2022",AB-IP05,Alberta,commercial,poultry,PCZ-16,Revoked
"April 8, 2022",AB-IP04,Alberta,commercial,poultry,PCZ-15,Revoked
"April 6, 2022",AB-IP03,Alberta,commercial,poultry,PCZ-14,Revoked
"April 6, 2022",AB-IP02,Alberta,commercial,poultry,PCZ-13,Revoked
"April 6, 2022",AB-IP01,Alberta,commercial,poultry,PCZ-11,Revoked
"December 25, 2023",BC-IP158,British Columbia,commercial,poultry,PCZ-221,Revoked
"December 9, 2023",BC-IP155,British Columbia,commercial,poultry,PCZ-211,Revoked
"December 3, 2023",BC-IP154,British Columbia,commercial,poultry,PCZ-211,Revoked
"December 1, 2023",BC-IP153,British Columbia,commercial,poultry,PCZ-220,Revoked
"November 25, 2023",BC-IP152,British Columbia,commercial,poultry,PCZ-211,Revoked
"November 25, 2023",BC-IP151,British Columbia,commercial,poultry,PCZ-221,Revoked
"November 24, 2023",BC-IP150,British Columbia,commercial,poultry,PCZ-197,Revoked
"November 24, 2023",BC-IP149,British Columbia,commercial,poultry,PCZ-220,Revoked
"November 23, 2023",BC-IP148,British Columbia,commercial,poultry,PCZ-206,Revoked
"November 23, 2023",BC-IP147,British Columbia,commercial,poultry,PCZ-206,Revoked
"November 22, 2023",BC-IP146,British Columbia,commercial,poultry,PCZ-199,Revoked
"November 22, 2023",BC-IP145,British Columbia,commercial,poultry,PCZ-211,Revoked
