Date detected,Infected Premises (IP) location Question,Province,Premises type Question,WOAH premises classification Question,Primary control zone (PCZ) Question - Map,Status of order declaring PCZ
"November 23, 2024",AB-IP86 Footnote *  Sturgeon County,Alberta,non-commercial,non-poultry,,
"November 22, 2024",BC-IP210Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 22, 2024",BC-IP209Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 21, 2024",BC-IP208Footnote *  District Municipality of Saanich,British Columbia,non-commercial,poultry,PCZ-249,Revoked
"November 21, 2024",BC-IP207Footnote *  City of Chilliwack,British Columbia,non-commercial,non-poultry,,
"November 21, 2024",BC-IP206 Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 21, 2024",BC-IP205Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-248 Revoked
"November 20, 2024",BC-IP204 Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
"November 20, 2024",BC-IP203Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
"November 20, 2024",BC-IP202Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 20, 2024",QC-IP57Footnote *  Lotbinière Regional County Municipality,Quebec,commercial,N/A - LPAI,PCZ-247,Revoked
"November 19, 2024",BC-IP201Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
"November 19, 2024",BC-IP200Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 18, 2024",QC-IP56Footnote *  La Vallée-du-Richelieu Regional County Municipality,Quebec,commercial,N/A - LPAI,PCZ-246,Revoked
"November 17, 2024",QC-IP55Footnote *  Les Maskoutains Regional County Municipality,Quebec,commercial,N/A - LPAI,PCZ-244,Revoked
"November 17, 2024",BC-IP199Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 17, 2024",BC-IP198Footnote *  City of Chilliwack,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
"November 17, 2024",BC-IP197Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-237 Revoked
"November 17, 2024",BC-IP196Footnote *  City of Abbotsford,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
